ts,symbol,dir,entry,tp1,sl,grade
2025-09-01 21:11:23 UTC,CFX/USDT,short,0.17558000,0.17526800,0.17495600,0.17464400,0.17589200,60.19,A,0.1777,0.1883,0.5769,-0.5306,2.2775
2025-09-01 21:11:52 UTC,PI/USDT,short,0.33710000,0.33662000,0.33614000,0.33566000,0.33758000,76.71,A+,0.1424,2.5246,1.0000,-0.1354,2.9652
2025-09-01 21:13:27 UTC,TRUMP/USDT,short,8.28400000,8.27020000,8.25640000,8.24260000,8.29780000,63.49,A,0.1666,6.9394,0.0000,-0.1605,1.2072
2025-09-01 21:13:37 UTC,IP/USDT,short,7.70800000,7.69400000,7.68000000,7.66600000,7.72200000,75.20,A+,0.1816,1.5000,1.0000,-0.3640,1.2971
2025-09-01 21:13:37 UTC,PYTH/USDT,short,0.16095000,0.16069400,0.16043800,0.16018200,0.16120600,66.31,A,0.1591,1.9428,0.0000,-0.1784,0.6212
2025-09-01 21:13:37 UTC,TRUMP/USDT,short,8.28400000,8.27020000,8.25640000,8.24260000,8.29780000,64.59,A,0.1666,6.9970,0.0000,-0.2709,1.2071
2025-09-01 21:13:37 UTC,OKB/USDT,short,164.20000000,163.94000000,163.68000000,163.42000000,164.46000000,63.77,A,0.1583,4.8720,0.0000,-0.4272,1.8272
2025-09-01 21:13:41 UTC,PYTH/USDT,short,0.16095000,0.16069400,0.16043800,0.16018200,0.16120600,69.93,A,0.1591,1.9428,0.0000,-0.5411,0.6212
2025-09-01 21:13:41 UTC,OKB/USDT,short,164.20000000,163.94000000,163.68000000,163.42000000,164.46000000,62.55,A,0.1583,4.9147,0.0000,-0.5087,2.4362
2025-09-01 21:13:54 UTC,OKB/USDT,short,164.21000000,163.95000000,163.69000000,163.43000000,164.47000000,69.43,A,0.1583,7.6109,0.0000,-0.6028,0.6089
2025-09-01 21:13:54 UTC,PYTH/USDT,short,0.16088000,0.16062400,0.16036800,0.16011200,0.16113600,67.00,A,0.1591,2.0128,0.0000,-0.1586,0.6218
2025-09-01 21:14:04 UTC,OKB/USDT,short,164.25000000,163.98600000,163.72200000,163.45800000,164.51400000,65.47,A,0.1607,7.7901,0.0000,-0.6422,1.8263
2025-09-01 21:14:04 UTC,XRP/USDT,short,2.74190000,2.73840000,2.73490000,2.73140000,2.74540000,62.23,A,0.1276,0.4142,0.3714,-0.2125,0.3647
2025-09-01 21:14:22 UTC,CFX/USDT,short,0.17587000,0.17560800,0.17534600,0.17508400,0.17613200,74.22,A+,0.1490,9.2610,0.0000,-0.8651,1.1371
2025-09-01 21:14:49 UTC,OKB/USDT,short,164.67000000,164.31200000,163.95400000,163.59600000,165.02800000,68.57,A,0.2174,1.6898,0.5866,-0.5662,2.4291
2025-09-01 21:14:49 UTC,SUI/USDT,short,3.15320000,3.14870000,3.14420000,3.13970000,3.15770000,62.50,A,0.1427,1.0460,0.0000,-0.8305,0.3171
2025-09-01 21:15:44 UTC,DOGE/USDT,short,0.20777000,0.20748400,0.20719800,0.20691200,0.20805600,62.44,A,0.1377,1.6738,0.0000,-0.1887,0.4813
2025-09-01 21:15:51 UTC,DOGE/USDT,short,0.20779000,0.20750000,0.20721000,0.20692000,0.20808000,67.64,A,0.1396,2.0462,0.0000,-0.4048,0.4812
2025-09-01 21:15:51 UTC,SUI/USDT,short,3.14890000,3.14432000,3.13974000,3.13516000,3.15348000,64.13,A,0.1454,1.2288,0.0000,-0.7675,0.3175
2025-09-01 21:15:57 UTC,DOGE/USDT,short,0.20778000,0.20749000,0.20720000,0.20691000,0.20807000,66.85,A,0.1396,2.2297,0.0000,-0.1719,0.4813
